"# MPS-ATLAS at solar parameters (Teff 5772, logg 4.438, [Fe/H] 0)."
# Measured solar values are at 579.88 nm and are NOT in-band.
# The last two columns are therefore not residuals. See a07 part one.
set,passband,h1,h2,measured_minus_model_h1,measured_minus_model_h2
set1,Kepler,0.83390,0.20822,-0.01027,+0.00575
set1,TESS,0.86472,0.17741,-0.04110,+0.03656
set1,CHEOPS,0.83072,0.21006,-0.00710,+0.00391
set1,PLATO,0.82635,0.21210,-0.00273,+0.00187
set2,Kepler,0.83082,0.20871,-0.00720,+0.00526
set2,TESS,0.86281,0.17765,-0.03919,+0.03633
set2,CHEOPS,0.82750,0.21060,-0.00388,+0.00337
set2,PLATO,0.82312,0.21268,+0.00050,+0.00130
