# Evidence that the h2 offset carries an analysis-dependent systematic that the
# h1 offset does not.
#
# SOURCE 1: Maxted (2023), MNRAS 519, 3723, section 4.2, "Comparison to
# Maxted (2018)". Sixteen stars appear in both studies. The two analyses differ
# in phase binning, outlier rejection, normalisation, weighting, the fitting
# code (ellc versus batman) and the limb-darkening law used in the fit. Maxted
# compares the h values the two analyses return for the same stars.
#
# His conclusion, verbatim: "The implication of these results is that the
# measured values of h1' are robust but the values of h2' may be affected by
# systematic errors ~0.01 depending on the details of the analysis."
#
# SOURCE 2: Maxted (2023), section 4.3.4. He reads the MURaM calculation of
# Norris et al. (2017), their Figure 4, for a Sun-like star with a mean vertical
# field of 100 G at 611 nm, and quotes the predicted magnetic effect.
#
# I have now obtained Norris et al. (2017), arXiv:1705.04455, and read the
# Figure 4 caption and the surrounding text. The figure shows a shaded band
# between the field-free (lower bound) and 100 G (upper bound) MURaM limb
# darkening, at 391, 611, 1097.5 and 1597.5 nm, with the Neckel and Labs
# polynomials overplotted as dashed lines. So the values below are the WIDTH OF
# THAT BAND at mu = 2/3 and 1/3, read off a plot by Maxted. They are not
# tabulated anywhere and they carry an unstated reading error. Do not quote them
# as if they were published numbers.
#
# Norris et al. also state, in the text accompanying that figure, that the
# measured solar limb-darkening gradient is slightly shallower than the
# field-free MURaM values, and attribute this to the fact that "we never observe
# the truly field-free quiet Sun". That is the same effect Kostogryz et al.
# report for other stars, stated for the Sun in 2017, with Krivova and Solanki
# among the authors.
#
# Kostogryz et al. (2024) take the observed offsets from this paper and do not
# mention the section 4.2 systematic. Their central claim is that magnetised
# models "simultaneously explain the offsets in both limb darkening
# coefficients".
quantity,value,uncertainty,source,note
repeat_analysis_dh1,0.000,0.008,Maxted 2023 section 4.2,16 stars analysed two ways; sigma_ext = 0.001
repeat_analysis_dh2,0.010,0.002,Maxted 2023 section 4.2,16 stars analysed two ways; sigma_ext = 0.001
muram_100G_dh1,0.007,,Norris et al. 2017 via Maxted 2023 section 4.3.4,predicted magnetic effect at 611 nm
muram_100G_dh2,-0.005,,Norris et al. 2017 via Maxted 2023 section 4.3.4,predicted magnetic effect at 611 nm
